Acheron|(Greek mythology) a river in Hades across which the souls of the dead were carried by Charon
Titan|(Greek mythology) any of the primordial giant gods who ruled the Earth until overthrown by Zeus; the Titans were offspring of Uranus (Heaven) and Gaea (Earth)
Titaness|(Greek mythology) any of the primordial giant goddesses who were offspring of Uranus (heaven) and Gaea (earth) in ancient mythology
Triton|(Greek mythology) a sea god; son of Poseidon
Tyche|(Greek mythology) the goddess of fortune; identified with Roman Fortuna
Fortuna|(Roman mythology) the goddess of fortune and good luck; counterpart of Greek Tyche
Zephyr|(Greek mythology) the Greek god of the west wind
Zeus|(Greek mythology) the supreme god of ancient Greek mythology; son of Rhea and Cronus whom he dethroned; husband and brother of Hera; brother of Poseidon and Hades; father of many gods; counterpart of Roman Jupiter
Jupiter|(Roman mythology) supreme god of Romans; counterpart of Greek Zeus
Jupiter Fulgur|an epithet for Jupiter
Jupiter Tonans|an epithet for Jupiter
Jupiter Pluvius|an epithet for Jupiter
Jupiter Optimus Maximus|an epithet for Jupiter
Jupiter Fidius|an epithet for Jupiter
Oceanus|(Greek mythology) god of the stream that flowed around the earth in ancient mythology
Cocus|(Greek mythology) one of the Titans
Crius|(Greek mythology) one of the Titans
Iapetus|(Greek mythology) the Titan who was father of Atlas and Epimetheus and Prometheus in ancient mythology
Atlas|(Greek mythology) a Titan who was forced by Zeus to bear the sky on his shoulders
Epimetheus|(Greek mythology) brother of Prometheus; despite Prometheus's warning against gifts from Zeus he accepted Pandora as his wife
Prometheus|(Greek mythology) the Titan who stole fire from Olympus and gave it to mankind; Zeus punished him by chaining him to a rock where an eagle gnawed at his liver until Hercules rescued him
Thea|(Greek mythology) the Titaness who was mother of Helios and Selene and Eos in ancient mythology
Rhea|fertility goddess in ancient Greek mythology; wife of Cronus and mother of Zeus; identified with Roman Ops and Cybele of ancient Asia Minor
Ops|(Roman mythology) goddess of abundance and fertility; wife of Saturn; counterpart of Greek Rhea and Cybele of ancient Asia Minor
Sylvanus|(Roman mythology) god of woods and fields and flocks; Pan is the Greek counterpart
Agdistis|Asiatic epithet for Rhea or Cybele
Themis|(Greek mythology) the Titaness who was goddess of justice in ancient mythology
Mnemosyne|(Greek mythology) the Titaness who was goddess of memory; mother of the Muses
Phoebe|(Greek mythology) a Titaness who became identified with Artemis as goddess of the Moon
Tethys|(Greek mythology) a Titaness and sea goddess; wife of Oceanus
Psyche|(Greek mythology) a beautiful princess loved by Cupid who visited her at night and told her she must not try to see him; became the personification of the soul
Leto|wife or mistress of Zeus and mother of Apollo and Artemis in ancient mythology; called Latona in Roman mythology
Hercules|(classical mythology) a hero noted for his strength; performed 12 immense labors to gain immortality
Pandora|(Greek mythology) the first woman; created by Hephaestus on orders from Zeus who presented her to Epimetheus along with a box filled with evils
Norse deity|a deity worshipped by the ancient Norsemen
Aesir|(Norse mythology) the chief of gods living at Asgard
Andvari|(Norse mythology) a dwarf who possessed a treasure that was stolen by Loki
Vanir|(Norse mythology) group of ancient gods sometimes in conflict with the Aesir
Balder|(Norse mythology) god of light and peace and noted for his beauty and sweet nature; son of Odin and Frigg and husband of Nanna; killed by Hoth
Bragi|(Norse mythology) god of poetry and music; son of Odin
Elli|(Norse mythology) goddess of old age who defeated Thor in a wrestling match
Forseti|(Norse mythology) god of justice; son of Balder and Nanna
Frey|(Norse mythology) god of earth's fertility and peace and prosperity; son of Njorth and brother of Freya; originally of the Vanir; later with the Aesir
Freya|(Norse mythology) goddess of love and fecundity; daughter of Njorth and sister of Frey
Frigg|(Norse mythology) goddess of the heavens and married love; wife of Odin
Heimdall|(Norse mythology) god of dawn and light; guardian of Asgard
Hel|(Norse mythology) goddess of the dead and queen of the underworld
Hoenir|(Norse mythology) one of the Aesir having a strong and beautiful body but a dull mind
Hoth|(Norse mythology) a blind god; misled by Loki, he kills his brother Balder by throwing a shaft of mistletoe
Idun|(Norse mythology) goddess of spring and wife of Bragi; guarded the apples that kept the gods eternally young
Jotun|(Norse mythology) one of a group of giants often in conflict with the Aesir
Loki|(Norse mythology) trickster; god of discord and mischief; contrived death of Balder and was overcome by Thor
Mimir|(Norse mythology) giant who lives in the roots of Yggdrasil and guards the well of wisdom
Nanna|(Norse mythology) wife of Balder
Njord|(Norse mythology) chief of the Vanir; god of the sea and winds and prosperity; father of Frey and Freya; sometimes subsumes Teutonic Nerthus
Norn|(Norse mythology) any of the three goddesses of destiny; identified with Anglo-Saxon Wyrd; similar to Greek Moirae and Roman Parcae
Urd|goddess of fate: a giantess who personified the past
Verdandi|goddess of fate: an elf who personified the present
Skuld|goddess of fate: a dwarf who personified the future
Odin|(Norse mythology) ruler of the Aesir; supreme god of war and poetry and knowledge and wisdom (for which he gave an eye) and husband of Frigg; identified with the Teutonic Wotan
Sif|(Norse mythology) wife of Thor and guardian of the home
Sigyn|(Norse mythology) wife of Loki; held a cup over him during his punishment to spare him the pain of drops of poison
Thor|(Norse mythology) god of thunder and rain and farming; pictured as wielding a hammer emblematic of the thunderbolt; identified with Teutonic Donar
Tyr|(Norse mythology) god of war and strife and son of Odin; identified with Anglo-Saxon Tiu
Ull|(Norse mythology) one of the Aesir known for his beauty and skill with bow and skis; son of Sif and stepson of Thor
Vali|(Norse mythology) one of the Aesir and avenger of Balder; son of Odin
Vitharr|(Norse mythology) one of the Aesir; son of Odin; avenges his parent by slaying Fenrir at Ragnarok
Fenrir|(Norse mythology) an enormous wolf that was fathered by Loki and that killed Odin
Volund|(Norse mythology) a wonderful smith; identified with Anglo-Saxon Wayland and Teutonic Wieland
Yggdrasil|(Norse mythology) a huge ash tree whose roots and branches hold the earth and Heaven and Hell together
Ymir|(Norse mythology) the primeval giant slain by Odin and his brothers and from whose body they created the world: the sea from his blood; the earth from his flesh; the mountains from his bones; the sky from his skull
Wayland|(European mythology) a supernatural smith and king of the elves; identified with Norse Volund
Teutonic deity|(German mythology) a deity worshipped by the ancient Teutons
Donar|the Teutonic god of thunder; counterpart of Norse Thor
Nerthus|the Teutonic goddess of fertility; later identified with Norse Njord
Wotan|supreme Teutonic god; counterpart of Norse Odin and Anglo-Saxon Woden
Anglo-Saxon deity|(Anglo-Saxon mythology) a deity worshipped by the Anglo-Saxons
Tiu|god of war and sky; counterpart of Norse Tyr
Woden|chief god; counterpart of Norse Odin and Teutonic Wotan
Wyrd|fate personified; any one of the three Weird Sisters
Adam|(Old Testament) in Judeo-Christian mythology; the first man and the husband of Eve and the progenitor of the human race
Eve|(Old Testament) Adam's wife in Judeo-Christian mythology: the first woman and mother of the human race; God created Eve from Adam's rib and placed Adam and Eve in the Garden of Eden
Cain|(Old Testament) Cain and Abel were the first children of Adam and Eve born after the Fall of Man; Cain killed Abel out of jealousy and was exiled by God
Abel|(Old Testament) Cain and Abel were the first children of Adam and Eve born after the Fall of Man; Abel was killed by Cain
Seth|(Old Testament) third son of Adam and Eve; given by God in place of the murdered Abel
Ajax|a mythical Greek hero; a warrior who fought against Troy in the Iliad
Aladdin|in the Arabian Nights a boy who acquires a magic lamp from which he can summon a genie
Argonaut|(Greek mythology) one of the heroes who sailed with Jason in search of the Golden Fleece
Babar|an imaginary elephant that appears in a series of French books for children
Beatrice|the woman who guided Dante through Paradise in the Divine Comedy
Beowulf|the legendary hero of an anonymous Old English epic poem composed in the early 8th century; he slays a monster and becomes king but dies fighting a dragon
Bluebeard|(fairytale) a monstrous villain who marries seven women; he kills the first six for disobedience
Bond|British secret operative 007 in novels by Ian Fleming
Brunhild|a Valkyrie or a queen in the Nibelungenlied who loved the hero Siegfried; when he deceived her she had him killed and then committed suicide
Valkyrie|(Norse mythology) one of the maidens of Odin who chose heroes to be slain in battle and conducted them to Valhalla
Brer Rabbit|the fictional character of a rabbit who appeared in tales supposedly told by Uncle Remus and first published in 1880
Bunyan|a legendary giant lumberjack of the north woods of the United States and Canada; "Paul Bunyan had a blue ox named Babe"; "the lakes of Minnesota began when Paul Bunyan and Babe's footprints filled with water"
John Henry|hero of American folk tales; portrayed as an enormously strong black man who worked on the railroads and died from exhaustion after winning a contest with a steam drill
Cheshire cat|a fictional cat with a broad fixed smile on its face; created by Lewis Carroll
Chicken Little|a fictional character who was hit on the head with an acorn and believed that the sky was falling
Cinderella|a fictional young girl who is saved from her stepmother and stepsisters by her fairy godmother and a handsome prince
Colonel Blimp|a pompous reactionary cartoon character created by Sir David Low
Dracula|fictional vampire in a gothic horror novel by Bram Stoker
Jason|(Greek mythology) the husband of Medea and leader of the Argonauts who sailed in quest of the Golden Fleece
Medea|(Greek mythology) a princess of Colchis who aided Jason in taking the Golden Fleece from her father
Laertes|(Greek mythology) the father of Odysseus
Odysseus|(Greek mythology) a famous mythical Greek hero; his return to Ithaca after the siege of Troy was described in the Odyssey
Ulysses|(Roman mythology) Roman spelling for Odysseus
Penelope|(Greek mythology) the wife of Odysseus and a symbol of devotion and fidelity; for 10 years while Odysseus fought the Trojan War she resisted numerous suitors until Odysseus returned and killed them
Theseus|(Greek mythology) a hero and king of Athens who was noted for his many great deeds: killed Procrustes and the Minotaur and defeated the Amazons and united Attica
Tantalus|(Greek mythology) a wicked king and son of Zeus; condemned in Hades to stand in water that receded when he tried to drink and beneath fruit that receded when he reached for it
Phrygian deity|deity of the ancient Phrygians of west central Asia Minor
Cybele|great nature goddess of ancient Phrygia in Asia Minor; counterpart of Greek Rhea and Roman Ops
Achilles|a mythical Greek hero of the Iliad; a foremost Greek warrior at the siege of Troy; when he was a baby his mother tried to make him immortal by bathing him in a magical river but the heel by which she held him remained vulnerable--his `Achilles' heel'
Aeneas|a mythical Greek warrior who was a leader on the Trojan side of the Trojan War; hero of the Aeneid
Atreus|(Greek mythology) the king of Mycenae and father of Agamemnon and of Menelaus
Agamemnon|(Greek mythology) the king who lead the Greeks against Troy in the Trojan War
Menelaus|(Greek mythology) the king of Sparta at the time of the Trojan War; brother of Agamemnon; husband of Helen
Iphigenia|(Greek mythology) the daughter of Clytemnestra and Agamemnon; Agamemnon was obliged to offer her as a sacrifice to Artemis when the Greek fleet was becalmed on its way to Troy; Artemis rescued her and she later became a priestess
Clytemnestra|(Greek mythology) wife of Agamemnon who had him murdered when he returned from the Trojan War
Aegisthus|(Greek mythology) the seducer of Clytemnestra and murderer of Agamemnon who usurped the throne of Mycenae until Agamemnon's son Orestes returned home and killed him
Orestes|(Greek mythology) the son of Agamemnon and Clytemnestra; his sister Electra persuaded him to avenge Agamemnon's death by killing Clytemnestra and Aegisthus
Cassandra|(Greek mythology) a prophetess in Troy during the Trojan War whose predictions were true but were never believed
Antigone|(Greek mythology) the daughter of King Oedipus who disobeyed her father and was condemned to death
Creon|(Greek mythology) the brother of Jocasta and uncle of Antigone who became king of Thebes after the fall of Oedipus
Jocasta|(Greek mythology) queen of Thebes who unknowingly married her own son Oedipus
Electra|(Greek mythology) the daughter of Agamemnon and Clytemnestra; persuaded her brother (Orestes) to avenge Agamemnon's death by helping her to kill Clytemnestra and her lover (Aegisthus)
Laocoon|(Greek mythology) the priest of Apollo who warned the Trojans to beware of Greeks bearing gifts when they wanted to accept the Trojan Horse; a god who favored the Greeks (Poseidon or Athena) sent snakes who coiled around Laocoon and his two twin sons killing them
Laius|(Greek mythology) king of Thebes who was unwittingly killed by his son Oedipus
Myrmidon|(Greek mythology) a member of the warriors who followed Achilles on the expedition against Troy
Oedipus|(Greek mythology) a tragic king of Thebes who unknowingly killed his father Laius and married his mother Jocasta; the subject of the drama `Oedipus Rex' by Sophocles
Tiresias|(Greek mythology) the blind prophet of Thebes who revealed to Oedipus that Oedipus had murdered his father and married his mother
Peleus|a king of the Myrmidons and father of Achilles
Don Quixote|the hero of a romance by Cervantes; chivalrous but impractical
El Cid|the hero of a Spanish epic poem from the 12th century
Fagin|a villainous Jew in a novel by Charles Dickens; "Fagin was a fence who trained boys as pickpockets"
Falstaff|a dissolute character in Shakespeare's plays
Father Brown|a Catholic priest who was the hero of detective stories by G. K. Chesterton
Faust|an alchemist of German legend who sold his soul to Mephistopheles in exchange for knowledge
Frankenstein|the fictional Swiss scientist who was the protagonist in a gothic novel by Mary Wollstonecraft Shelley; he created a monster from parts of corpses
Frankenstein|the monster created by Frankenstein in a gothic novel by Mary Wollstonecraft Shelley (the creator's name is commonly used to refer to his creation)
Goofy|a cartoon character created by Walt Disney
Gulliver|a fictional Englishman who travels to the imaginary land of Lilliput in a satirical novel by Jonathan Swift
Hamlet|the hero of William Shakespeare's tragedy who hoped to avenge the murder of his father
Hector|(Greek mythology) a mythical Trojan who was killed by Achilles during the Trojan War
Helen|(Greek mythology) the beautiful daughter of Zeus and Leda who was abducted by Paris; the Greek army sailed to Troy to get her back which resulted in the Trojan War
Horatio Hornblower|a fictional English admiral during the Napoleonic Wars in novels written by C. S. Forester
Iago|the villain in William Shakespeare's tragedy who tricked Othello into murdering his wife
Inspector Maigret|a fictional detective in novels by Georges Simenon
Kilroy|a nonexistent person popularized by American servicemen during World War II; "Kilroy was here"
Lear|the hero of William Shakespeare's tragedy who was betrayed and mistreated by two of his scheming daughters
Leda|(Greek mythology) a queen of Sparta who was raped by Zeus who had taken the form of a swan; Helen of Troy was conceived in the rape of Leda
Lilliputian|a 6-inch tall inhabitant of Lilliput in a novel by Jonathan Swift
Marlowe|tough cynical detective (one of the early detective heroes in American fiction) created by Raymond Chandler
Mephistopheles|evil spirit to whom Faust sold his soul
Micawber|fictional character created by Charles Dickens; an eternal optimist
Mother Goose|the imaginary author of a collection of nursery rhymes
Mr. Moto|Japanese sleuth created by John Marquand
Othello|the hero of William Shakespeare's tragedy who would not trust his wife
Pangloss|an incurable optimist in a satire by Voltaire
Pantaloon|a character in the commedia dell'arte; portrayed as a foolish old man
Pantaloon|a buffoon in modern pantomimes; the butt of jokes
Perry Mason|fictional detective in novels by Erle Stanley Gardner
Peter Pan|the main character in a play and novel by J. M. Barrie; a boy who won't grow up
Pied Piper|the title character in a German folk tale and in a poem by Robert Browning
Pierrot|a male character in French pantomime; usually dressed in white with a whitened face
Pluto|a cartoon character created by Walt Disney
Huckleberry Finn|a mischievous boy in a novel by Mark Twain
Rip van Winkle|the title character in a story by Washington Irving about a man who sleeps for 20 years and doesn't recognize the world when he wakens
Ruritanian|an imaginary inhabitant of Ruritania
Tarzan|a man raised by apes who was the hero of a series of novels by Edgar Rice Burroughs
Tom Sawyer|the boy hero of a novel by Mark Twain
Uncle Remus|the fictional storyteller of tales written in the Black Vernacular and set in the South; the tales were first collected and published in book form in 1880
Uncle Tom|a servile black character in a novel by Harriet Beecher Stowe
Uncle Sam|a personification of the United States government
Sherlock Holmes|a fictitious detective in stories by A. Conan Doyle
Simon Legree|the cruel slave dealer in an anti-slavery novel by Harriet Beecher Stowe
Sinbad the Sailor|in the Arabian Nights a hero who tells of the fantastic adventures he had in his voyages
Snoopy|a fictional beagle in a comic strip drawn by Charles Schulz
Ananias|a habitual liar (after a New Testament character who was struck dead for lying)
Ashkenazi|a Jew of eastern European or German descent
Conservative Jew|Jew who keeps some requirements of Mosaic law but adapts others to suit modern circumstances
Contra|a member of the guerrilla force that opposed a left-wing government in Nicaragua
African|a native or inhabitant of Africa
Black African|an African who is Black
Afrikaner|a white native of Cape Province who is a descendant of Dutch settlers and who speaks Afrikaans
Aryan|a member of the prehistoric people who spoke Proto-Indo European
Aryan|(according to Nazi doctrine) a Caucasian person of Nordic descent (and not a Jew)
Black|a person with African ancestry, "Negro" and "Negroid" are archaic and pejorative today
White|a Caucasian
Circassian|a member of the Sunni Muslim people living in northwestern Caucasia
Abkhaz|a member of the Circassian people who live to the east of the Black Sea
Semite|a member of a group of Semitic-speaking peoples of the Middle East and northern Africa
Babylonian|an inhabitant of ancient Babylon
Chaldean|an inhabitant of ancient Chaldea
Assyrian|an inhabitant of ancient Assyria
Kassite|a member of an ancient people who ruled Babylonia between 1600 and 1200 BC
Elamite|a member of an ancient warlike people living in Elam east of Babylonia as early as 3000 BC
Phoenician|a member of an ancient Semitic people who dominated trade in the first millennium B.C.
WASP|a white person of Anglo-Saxon ancestry who belongs to a Protestant denomination
Asian|a native or inhabitant of Asia
Asian American|an American who is of Asian descent
Evenki|a member of the people inhabiting an area of northern Mongolia and eastern Siberia
Mongol|a member of the nomadic peoples of Mongolia
Tatar|a member of the Turkic-speaking people living from the Volga to the Ural Mountains (the name has been attributed to many other groups)
Udmurt|a member of the Finno-Ugric-speaking people living in eastern European Russia
Tatar|a member of the Mongolian people of central Asia who invaded Russia in the 13th century
Amerindian|any member of the peoples living in North or South America before the Europeans arrived
Abnaki|a member of the Algonquian people of Maine and southern Quebec
Achomawi|a member of the Achomawi community of northeastern California
Akwa'ala|a member of the Akwa'ala community in Baja California
Alabama|a member of the Muskhogean people formerly living in what is now the state of Alabama; "the Alabamas were members of the Creek Confederacy"
Algonkian|a member of a North American Indian people in the Ottawa river valley of Ontario and Quebec
Algonquian|a member of any of the North American Indian groups speaking an Algonquian language and originally living in the subarctic regions of eastern Canada; many Algonquian tribes migrated south into the woodlands from the Mississippi River to the Atlantic coast
Anasazi|a Native American who lived in what is now southern Colorado and Utah and northern Arizona and New Mexico and who built cliff dwellings
Atakapa|a member of an Indian people formerly living along the Gulf Coast of Louisiana and Texas
Athapaskan|a member of any of the North American Indian groups speaking an Athapaskan language and living in the subarctic regions of western Canada and central Alaska
Mayan|a member of an American Indian people of Yucatan and Belize and Guatemala who had a culture (which reached its peak between AD 300 and 900) characterized by outstanding architecture and pottery and astronomy; "Mayans had a system of writing and an accurate calendar"
Nahuatl|a member of any of various Indian peoples of central Mexico
Aztec|a member of the Nahuatl people who established an empire in Mexico that was overthrown by Cortes in 1519
Olmec|a member of an early Mesoamerican civilization centered around Veracruz that flourished between 1300 and 400 BC
Toltec|a member of the Nahuatl speaking people of central and southern Mexico
Zapotec|a member of a large tribe of Mesoamericans living in southern Mexico whose civilization flourished around 300 to 900
Plains Indian|a member of one of the tribes of American Indians who lived a nomadic life following the buffalo in the Great Plains of North America
Apache|any member of Athapaskan tribes that migrated to the southwestern desert (from Arizona to Texas and south into Mexico); fought a losing battle from 1861 to 1886 with the United States and were resettled in Oklahoma
Arapaho|a member of a tribe of Plains Indians formerly inhabiting eastern Colorado and Wyoming (now living in Oklahoma and Wyoming)
Arikara|a member of the Caddo people who formerly lived in the Dakotas west of the Missouri river
Atsugewi|a member of a North American Indian people of northern California
Biloxi|a member of the Siouan people of southeastern Mississippi
Blackfoot|a member of a warlike group of Algonquians living in the northwestern plains
Brule|a member of a group of Siouan people who constituted a division of the Teton Sioux
Caddo|a group of Plains Indians formerly living in what is now North and South Dakota and Nebraska and Kansas and Arkansas and Louisiana and Oklahoma and Texas
Cakchiquel|a member of the Mayan people living in south central Guatemala
Catawba|a member of the Siouan people formerly living in the Carolinas
Cayuga|a member of an Iroquoian people formerly living around Cayuga Lake in New York State
Cherokee|a member of an Iroquoian people formerly living in the Appalachian Mountains but now chiefly in Oklahoma
Cheyenne|a member of a North American Indian people living on the western plains (now living in Oklahoma and Montana)
Chickasaw|a member of the Muskhogean people formerly living in northern Mississippi
Chimakum|a member of the Salishan people living in northwestern Washington
Chimariko|a member of an extinct North American Indian people formerly living in California
Chinook|a member of an important North American Indian people who controlled the mouth of the Columbia river; they were organized into settlements rather than tribes
Chipewyan|a member of the Athapaskan people living in western Canada between Great Slave Lake and Hudson Bay
Choctaw|a member of the Muskhogean people formerly living in Alabama
Cochimi|a member of a North American Indian people living in central Baja California
Cocopa|a member of a North American Indian people living around the mouth of the Colorado River
Coeur d'Alene|a member of an Amerindian people living in northern Idaho around Coeur d'Alene Lake
Comanche|a member of the Shoshonean people who formerly lived between Wyoming and the Mexican border but are now chiefly in Oklahoma
Conoy|a member of an Algonquian people formerly living in Maryland between Chesapeake Bay and the Potomac river; allies of the Nanticoke people
Costanoan|a member of a North American Indian people living in coastal California between Monterey and San Francisco Bay
Cree|a member of an Algonquian people living in central Canada
Creek|any member of the Creek Confederacy (especially the Muskogee) formerly living in Georgia and Alabama but now chiefly in Oklahoma
Crow|a member of the Siouan people formerly living in eastern Montana
Dakota|a member of the Siouan people of the northern Mississippi valley; commonly called the Sioux
Delaware|a member of an Algonquian people formerly living in New Jersey and New York and parts of Delaware and Pennsylvania
Dhegiha|any member of a Siouan people speaking one of the Dhegiha languages
Diegueno|a member of a North American Indian people of southern California
Erie|a member of an Iroquoian people formerly living on the south shore of Lake Erie in northern Ohio and northwest Pennsylvania and western New York
Esselen|a member of a North American Indian people living on the California coast near Monterey
Essene|a member of an ascetic Jewish sect around the time of Jesus
Eyeish|a member of the Caddo people of northeastern Texas
Fox|a member of an Algonquian people formerly living west of Lake Michigan along the Fox River
Haida|a member of a seafaring group of North American Indians who lived on the Pacific coast of British Columbia and southwestern Alaska
Halchidhoma|a member of a North American Indian people of the Colorado river valley near the mouth of the Gila river; allied to the Maricopa
Havasupai|a member of a North American Indian people of Cataract Canyon in Arizona
Hidatsa|a member of the Sioux people formerly inhabiting an area along the Missouri river in western North Dakota
Hitchiti|a member of the Muskhogean people formerly living in Georgia; a member of the Creek Confederacy
Hopi|a member of the Shoshonean people of northeastern Arizona
Hokan|a member of a North American Indian people speaking one of the Hokan languages
Hunkpapa|a member of the Siouan people who constituted a division of the Teton Sioux and who formerly lived in the western Dakotas; they were prominent in resisting the white encroachment into the northern Great Plains
Hupa|a member of the Athapaskan people of the Trinity River valley in California
Illinois|a member of the Algonquian people formerly of Illinois and regions to the west
Iowa|a member of the Siouan people formerly living in Iowa and Minnesota and Missouri
Iroquois|any member of the warlike North American Indian peoples formerly living in New York State; the Iroquois League were allies of the British during the American Revolution
Kalapooia|a member of the North American Indian people of Oregon
Kamia|a member of a North American Indian people of southeastern California and northwestern Mexico
Kansa|a member of the Siouan people of the Kansas river valley in Kansas
Karok|a member of a North American Indian people of the Klamath river valley in northern California
Kekchi|a member of a Mayan people of north central Guatemala
Kichai|a member of a Caddo people formerly living in north central Texas
Kickapoo|a member of the Algonquian people formerly inhabiting southern Wisconsin and northern Illinois
Kiliwa|a member of a North American Indian people living in northern Baja California
Kiowa|a member of a Tanoan people living in the southwestern United States
Koasati|a member of the Muskhogean people formerly living in northern Alabama; a member of the Creek Confederacy
Kusan|a member of the North American Indian people of Oregon
Kwakiutl|a member of the Wakashan people living around Queen Charlotte Sound and on northern Vancouver Island
Maidu|a member of a North American Indian people living east of the Sacramento river in California
Malecite|a member of the Algonquian people of northeastern Maine and New Brunswick
Mam|a member of a Mayan people of southwestern Guatemala
Maricopa|a member of a North American Indian people of the Gila river valley in Arizona
Massachuset|a member of the Algonquian people who formerly lived around Massachusetts Bay
Mattole|a member of the Athapaskan people living in northwestern California
Menomini|a member of the federally recognized tribe of Algonquian people living on a reservation in central Wisconsin
Miniconju|a member of a group of Siouan people who constituted a division of the Teton Sioux
Missouri|a member of the Siouan people formerly inhabiting the valley of the Missouri river in Missouri
Miami|a member of the extinct Algonquian people formerly living in northern Indiana and southern Michigan
Micmac|a member of the Algonquian people inhabiting the Maritime Provinces of Canada
Miwok|a member of the North American Indian people living in the central Sierra Nevada in California
Mohave|a member of the North American Indian people formerly living in the Colorado river valley in Arizona and Nevada and California
Mohawk|a member of the Iroquoian people formerly living along the Mohawk River in New York State
Mohican|a member of the Algonquian people formerly living in the Hudson valley and eastward to the Housatonic
Muskhogean|a member of any of the peoples formerly living in southeastern United States and speaking Muskhogean languages
Muskogee|a member of the Muskhogean people formerly living in Georgia and eastern Alabama and constituting the core of the Creek Confederacy
Nanticoke|a member of the Algonquian people formerly of Maryland and eastern Delaware
Navaho|a member of an Athapaskan people that migrated to Arizona and New Mexico and Utah
Nez Perce|a member of a tribe of the Shahaptian people living on the pacific coast
Nootka|a member of the Wakashan people living on Vancouver Island and in the Cape Flattery region of northwestern Washington
Ofo|a member of the Siouan people living in the Yazoo river valley in Mississippi
Oglala|a member of the Siouan people who constituted a division of the Teton Sioux and who formerly inhabited the Black Hills of western South Dakota
Ojibwa|a member of an Algonquian people who lived west of Lake Superior
Omaha|a member of the Siouan people formerly living in the Missouri river valley in northeastern Nebraska
Osage|a member of the Siouan people formerly living in Missouri in the valleys of the Missouri and Osage rivers; oil was found on Osage lands early in the 20th century
Oneida|a member of the Iroquoian people formerly living east of Lake Ontario
Onondaga|a member of the Iroquoian people formerly living between Lake Champlain and the Saint Lawrence River
Oto|a member of the Siouan people inhabiting the valleys of the Platte and Missouri rivers in Nebraska
Ottawa|a member of the Algonquian people of southern Ontario
Paiute|a member of either of two Shoshonean peoples (northern Paiute and southern Paiute) related to the Aztecs and living in the southwestern United States
Pamlico|a member of the Algonquian people formerly of the Pamlico river valley in North Carolina
Passamaquody|a member of the Algonquian people related to the Malecite and living in northeastern Maine and New Brunswick
Patwin|a member of the North American Indian people living in the Sacramento valley in California
Pawnee|a member of the Pawnee nation formerly living in Nebraska and Kansas but now largely in Oklahoma
Penobscot|a member of the Algonquian people belonging to the Abnaki confederacy and living in the Penobscot valley in northern Maine
Penutian|a member of a North American Indian people speaking one of the Penutian languages
Pima|a member of the North American Indian people living in southern Arizona and northern Mexico
Pomo|a member of an Indian people of northern California living along the Russian River valley and adjacent Pacific coast
Ponca|a member of the Siouan people of the Missouri river valley in northeastern Nebraska
Potawatomi|a member of the Algonquian people originally of Michigan and Wisconsin
Powhatan|a member of the Algonquian people who formerly lived in eastern Virginia
Pueblo|a member of any of about two dozen Native American peoples called `Pueblos' by the Spanish because they live in pueblos (villages built of adobe and rock)
Quapaw|a member of the Siouan people of the Arkansas river valley in Arkansas
Quiche|a member of the Mayan people of south central Guatemala
Redskin|(slang) offensive term for Native Americans
Salish|a member of a group of North American Indians speaking a Salishan language and living on the northwest coast of North America
Santee|a member of the eastern branch of the Sioux
Sauk|a member of the Algonquian people formerly living in Wisconsin in the Fox River valley and on the shores of Green Bay
Seminole|a member of the Muskhogean people who moved into Florida in the 18th century
Seneca|a member of the Iroquoian people formerly living in New York State south of Lake Ontario
Shahaptian|a member of a North American Indian people who lived in Oregon along the Columbia river and its tributaries in Washington and northern Idaho
Shasta|a member of the Indian people of northern California and southern Oregon
Shawnee|a member of the Algonquian people formerly living along the Tennessee river
Shoshone|a member of the North American Indian people (related to the Aztecs) of the southwestern United States
Sihasapa|a member of a group of Siouan people who constituted a division of the Teton Sioux
Sioux|a member of a group of North American Indian peoples who spoke a Siouan language and who ranged from Lake Michigan to the Rocky Mountains
Teton|a member of the large western branch of Sioux people which was made up of several groups that lived on the plains
Skagit|a member of the Salish people in northwestern Washington
Takelma|a member of a North American Indian people of southwestern Oregon
Taos|a member of the Pueblo people living in northern New Mexico
Taracahitian|a member of a group of peoples of Mexico
Cahita|a member of the Taracahitian people of central Mexico
Tarahumara|a member of the Taracahitian people of north central Mexico
Tlingit|a member of a seafaring group of North American Indians living in southern Alaska
Tsimshian|a member of a Penutian people who lived on rivers and a sound in British Columbia
Tuscarora|a member of an Iroquois people who formerly lived in North Carolina and then moved to New York State and joined the Iroquois
Tutelo|a member of the Siouan people of Virginia and North Carolina
Two Kettle|a member of the Siouan people who constituted a division of the Teton Sioux
Ute|a member of the Shoshonean people of Utah and Colorado and New Mexico
Wakashan|a member of one of the peoples in British Columbia and Washington who speak the Wakashan language
Wampanoag|a member of the Algonquian people of Rhode Island and Massachusetts who greeted the Pilgrims
Walapai|a member of a North American people formerly living in the Colorado river valley in Arizona
Wichita|a member of the Caddo people formerly living between Kansas and central Texas
Winnebago|a member of the Siouan-speaking people formerly living in eastern Wisconsin south of Green Bay; ally of the Menomini and enemy of the Fox and Sauk people
Wintun|a member of a North American Indian people living in the Sacramento valley in California
Yahi|a member of an extinct North American Indian people who lived in northern California
Yana|a member of an extinct North American Indian people who lived in northern California
Yavapai|a member of a North American Indian people of central Arizona
Yokuts|a member of the North American Indian people of the San Joaquin Valley
Yucatec|a member of the Mayan people of the Yucatan peninsula in Mexico
